account_id,customer_id,product_type,open_dt,status,created_at
1,1,loan,2024-09-15,dormant,2025-10-19T14:24:10.386142+00:00
2,2,savings,2025-06-19,open,2025-10-19T14:24:10.386163+00:00
3,3,savings,2024-03-31,open,2025-10-19T14:24:10.386181+00:00
4,4,loan,2024-12-01,open,2025-10-19T14:24:10.386198+00:00
5,5,credit,2024-11-22,closed,2025-10-19T14:24:10.386215+00:00
6,5,credit,2024-01-23,open,2025-10-19T14:24:10.386230+00:00
7,6,loan,2024-08-19,open,2025-10-19T14:24:10.386249+00:00
8,7,savings,2025-10-01,dormant,2025-10-19T14:24:10.386266+00:00
9,7,checking,2024-06-23,dormant,2025-10-19T14:24:10.386281+00:00
10,8,savings,2024-09-15,open,2025-10-19T14:24:10.386296+00:00
11,9,loan,2025-02-03,closed,2025-10-19T14:24:10.386312+00:00
12,10,credit,2024-09-13,closed,2025-10-19T14:24:10.386327+00:00
13,11,loan,2024-01-05,dormant,2025-10-19T14:24:10.386344+00:00
14,11,savings,2024-07-26,open,2025-10-19T14:24:10.386359+00:00
15,12,savings,2025-03-19,closed,2025-10-19T14:24:10.386375+00:00
16,12,savings,2024-08-04,open,2025-10-19T14:24:10.386390+00:00
17,13,savings,2023-12-31,open,2025-10-19T14:24:10.386407+00:00
18,13,savings,2023-11-28,dormant,2025-10-19T14:24:10.386422+00:00
19,14,savings,2025-07-04,open,2025-10-19T14:24:10.386437+00:00
20,15,savings,2024-05-10,dormant,2025-10-19T14:24:10.386453+00:00
21,16,credit,2024-06-19,open,2025-10-19T14:24:10.386469+00:00
22,17,savings,2025-04-18,closed,2025-10-19T14:24:10.386484+00:00
23,17,loan,2025-08-09,closed,2025-10-19T14:24:10.386499+00:00
24,17,savings,2025-08-02,closed,2025-10-19T14:24:10.386514+00:00
25,18,savings,2024-10-07,dormant,2025-10-19T14:24:10.386529+00:00
26,19,credit,2025-09-30,open,2025-10-19T14:24:10.386545+00:00
27,19,checking,2025-06-28,open,2025-10-19T14:24:10.386560+00:00
28,20,checking,2023-11-26,dormant,2025-10-19T14:24:10.386577+00:00
29,21,savings,2024-01-11,dormant,2025-10-19T14:24:10.386593+00:00
30,21,credit,2025-03-23,open,2025-10-19T14:24:10.386607+00:00
31,22,credit,2024-11-22,closed,2025-10-19T14:24:10.386623+00:00
32,23,checking,2025-06-14,dormant,2025-10-19T14:24:10.386638+00:00
33,24,checking,2024-08-05,open,2025-10-19T14:24:10.386656+00:00
34,24,credit,2025-09-01,closed,2025-10-19T14:24:10.386671+00:00
35,24,credit,2024-05-21,closed,2025-10-19T14:24:10.386686+00:00
36,25,savings,2025-01-28,closed,2025-10-19T14:24:10.386702+00:00
37,26,credit,2025-05-04,dormant,2025-10-19T14:24:10.386717+00:00
38,27,savings,2023-11-30,dormant,2025-10-19T14:24:10.386733+00:00
39,28,checking,2025-02-01,dormant,2025-10-19T14:24:10.386748+00:00
40,29,loan,2024-04-02,closed,2025-10-19T14:24:10.386765+00:00
41,30,loan,2025-09-15,open,2025-10-19T14:24:10.386780+00:00
42,31,checking,2025-02-13,dormant,2025-10-19T14:24:10.386796+00:00
43,32,credit,2025-10-09,closed,2025-10-19T14:24:10.386811+00:00
44,33,credit,2024-06-11,open,2025-10-19T14:24:10.386827+00:00
45,33,checking,2024-09-11,open,2025-10-19T14:24:10.386843+00:00
46,34,credit,2025-03-26,closed,2025-10-19T14:24:10.386859+00:00
47,34,credit,2025-07-11,dormant,2025-10-19T14:24:10.386874+00:00
48,35,loan,2025-04-26,dormant,2025-10-19T14:24:10.386889+00:00
49,36,credit,2024-08-13,closed,2025-10-19T14:24:10.386905+00:00
50,37,savings,2024-12-26,open,2025-10-19T14:24:10.386921+00:00
51,37,checking,2025-05-30,closed,2025-10-19T14:24:10.386935+00:00
52,38,loan,2024-09-01,dormant,2025-10-19T14:24:10.386951+00:00
53,39,checking,2023-11-29,open,2025-10-19T14:24:10.386966+00:00
54,39,savings,2024-07-26,dormant,2025-10-19T14:24:10.386981+00:00
55,39,loan,2024-08-30,open,2025-10-19T14:24:10.386996+00:00
56,40,loan,2024-08-29,open,2025-10-19T14:24:10.387012+00:00
57,41,credit,2024-07-07,closed,2025-10-19T14:24:10.387027+00:00
58,42,savings,2024-11-09,open,2025-10-19T14:24:10.387043+00:00
59,43,loan,2025-04-26,closed,2025-10-19T14:24:10.387061+00:00
60,44,checking,2024-02-28,dormant,2025-10-19T14:24:10.387077+00:00
61,44,loan,2025-04-01,closed,2025-10-19T14:24:10.387092+00:00
62,45,checking,2024-08-08,dormant,2025-10-19T14:24:10.387107+00:00
63,46,loan,2024-05-03,closed,2025-10-19T14:24:10.387123+00:00
64,47,checking,2024-02-05,dormant,2025-10-19T14:24:10.387138+00:00
65,48,checking,2025-07-08,open,2025-10-19T14:24:10.387154+00:00
