customer_id,person_hash,first_seen_ts,kyc_status,pep_flag,sanctions_hit,record_src,created_at
1,e37f4f5dd24344f1adae480258a924f68a3d5171d324971948092323cd44d28d,2024-08-19T10:51:44.660534+00:00,pending,Y,OFAC,import,2024-08-19T10:51:44.660534+00:00
2,786bf009212f704f06ab7fb9a41b66a79c9952b484551808384d82b22eff5705,2025-06-13T22:00:25.916004+00:00,passed,N,OFAC,sim,2025-06-13T22:00:25.916004+00:00
3,9b06e137579d9f519dee078505ceab3437d4344e83e702f92f3f5e1d63aff724,2024-07-15T05:41:58.849004+00:00,pending,Y,OFAC,import,2024-07-15T05:41:58.849004+00:00
4,80d573ab42ecf2f945f619ffb6c13d7a55a4405fd8f16e1aa8a9f2fda202be9f,2024-12-06T13:51:58.708840+00:00,failed,Y,,import,2024-12-06T13:51:58.708840+00:00
5,57975abed029f489d0fdaf4094239a86a0bbc0e90f4c0cca2d76b2fbb690fcfd,2024-01-18T21:28:12.521756+00:00,failed,Y,OFAC,sim,2024-01-18T21:28:12.521756+00:00
6,f26efc5e23b0870056b1551d0e3b51f78805addab6b35c1eb5145f9cac7b064f,2024-12-03T16:58:22.918977+00:00,passed,Y,,sim,2024-12-03T16:58:22.918977+00:00
7,f394b2ed552b984d1ed793c131e079a0ef48076ee44f4495e360104a37b32e1a,2024-11-27T05:41:21.493890+00:00,pending,N,,import,2024-11-27T05:41:21.493890+00:00
8,aacc401d16d013d973aa7d6ca4e059197dce18fcc8a428e89bff25e5c492eb75,2025-09-18T23:12:52.988566+00:00,pending,Y,OFAC,sim,2025-09-18T23:12:52.988566+00:00
9,d9c739a1f19ba400485aff8d6a074972729cb542d7a41b5b3149241542845404,2025-10-03T23:55:45.958513+00:00,passed,Y,,import,2025-10-03T23:55:45.958513+00:00
10,e797b8899059d3514e403bfdf6c6adf67e7496fd27b87a4ad4e640a05a1071e2,2024-10-22T05:38:08.745023+00:00,passed,N,,sim,2024-10-22T05:38:08.745023+00:00
11,cf3b3e259b4d02b7e2768f06dd1cabf7860f563eab08112035b133a60d3aca7e,2025-03-28T07:28:10.478300+00:00,failed,N,,import,2025-03-28T07:28:10.478300+00:00
12,837c8be9760cf41ecdb75a260d9d148082e6571b367865b09f368c889ca36719,2024-06-25T14:57:22.368367+00:00,passed,Y,,import,2024-06-25T14:57:22.368367+00:00
13,e4739cb33d5a267286ed3c73ba4978538228740323e2f93ddab27995c7a92d94,2024-06-24T03:08:43.421739+00:00,passed,Y,OFAC,import,2024-06-24T03:08:43.421739+00:00
14,60b0dc01b923cf4dcf83f91f6b66946971311d8e3f551095d6b3606bebca79b3,2025-10-04T02:42:26.831890+00:00,failed,Y,,sim,2025-10-04T02:42:26.831890+00:00
15,c2b9de74540d25dc0a67f830d40283dffd1aefec652c819d2b4ae2d035524f05,2023-10-22T15:26:50.479163+00:00,pending,Y,,sim,2023-10-22T15:26:50.479163+00:00
16,ad0008cd63f7f0751967a2ee78a5069cf25c8961cebc268240165ec8eacfc4dd,2025-07-17T04:45:04.701074+00:00,pending,N,,import,2025-07-17T04:45:04.701074+00:00
17,28693fa509fee3c2b87950e4399bb4f1d5f8683ebc670086f86d7bed556e0df9,2024-02-27T18:48:42.335101+00:00,pending,Y,,sim,2024-02-27T18:48:42.335101+00:00
18,1327c5265560ba7fe3b9d42eb412a829aff623fdddddd366f3df7da3f6083d62,2024-08-17T22:16:01.344514+00:00,failed,N,,import,2024-08-17T22:16:01.344514+00:00
19,c676494e9a678e93cbb1c57c9008f9457a1186e3b92a8eaddd40c89fef3bf332,2024-12-15T09:36:34.301776+00:00,passed,Y,OFAC,sim,2024-12-15T09:36:34.301776+00:00
20,5cca94256d38825a2497c39e310c4787752116d29961b1c584a6727f27594907,2024-04-07T01:05:03.485215+00:00,failed,Y,OFAC,sim,2024-04-07T01:05:03.485215+00:00
21,e879227fa9fc615d58f14d7081b9e6a24a709d938f1b613175dbea8d7155697e,2025-03-21T07:30:19.059335+00:00,passed,N,OFAC,import,2025-03-21T07:30:19.059335+00:00
22,29ad0b099eaf4f4b10e9743075dab47458846b9b129a444592e38e4c92bed3bd,2025-05-31T17:00:09.617738+00:00,failed,Y,OFAC,sim,2025-05-31T17:00:09.617738+00:00
23,62eb79978168fc4a9cd7ec53fedb6575e987a7726963f99851fb9cb187ace658,2025-07-18T23:13:48.540501+00:00,failed,Y,,import,2025-07-18T23:13:48.540501+00:00
