device_id,device_fingerprint,first_seen_ts,risk_reputation,last_ip,last_country,created_at
1,d0ec70d6-932c-4102-b53d-8dc7831b5cb4,2024-01-29T20:38:55.291039+00:00,high,31.6.105.200,IN,2024-01-29T20:38:55.291039+00:00
2,c2dfa7cd-fdde-4488-b602-5ca85140bb62,2025-04-20T09:53:27.641773+00:00,medium,207.93.17.144,US,2025-04-20T09:53:27.641773+00:00
3,731c322e-b029-4ab9-8da8-332553d1ccdb,2025-06-07T04:52:19.108740+00:00,high,221.202.206.62,DE,2025-06-07T04:52:19.108740+00:00
4,3a4c60ec-9544-4b79-b9be-db9d087d4e4b,2025-05-01T10:21:40.718739+00:00,low,210.144.37.25,IN,2025-05-01T10:21:40.718739+00:00
5,9e574fb2-7e33-49ff-b90d-502e63523f11,2025-10-14T18:53:25.745154+00:00,high,100.155.91.9,DE,2025-10-14T18:53:25.745154+00:00
6,f500b314-813b-4257-9fde-f9d936457c0f,2023-11-16T01:10:01.390191+00:00,medium,18.221.216.215,IN,2023-11-16T01:10:01.390191+00:00
7,8ff77ef1-5ad0-4a9e-9d37-9c8993ff839c,2025-05-01T02:48:09.963244+00:00,low,56.222.11.95,DE,2025-05-01T02:48:09.963244+00:00
8,15da9269-3e3f-4f70-af55-c0a5f4f55c5f,2024-03-09T09:32:57.456503+00:00,high,77.80.169.52,DE,2024-03-09T09:32:57.456503+00:00
9,9e98c590-1a37-40af-86d3-c81e5e9c2c45,2025-05-09T13:43:23.129654+00:00,high,67.171.77.4,CA,2025-05-09T13:43:23.129654+00:00
10,0dd9380b-956e-4f17-af7d-c117ade3bd86,2024-07-14T19:42:52.130877+00:00,low,211.55.126.39,GB,2024-07-14T19:42:52.130877+00:00
11,51b89da0-bdd4-4dca-b8b9-c5fb0cd9eb0b,2024-07-13T19:19:36.338979+00:00,high,190.26.18.39,CA,2024-07-13T19:19:36.338979+00:00
12,fdb7b975-0477-4434-a924-6f91de5fbb10,2024-07-01T11:26:45.039702+00:00,high,218.134.173.99,GB,2024-07-01T11:26:45.039702+00:00
13,ccecc616-0b75-48ed-a825-31fd92eaf05f,2023-11-16T04:20:41.808748+00:00,medium,165.131.170.61,DE,2023-11-16T04:20:41.808748+00:00
14,26d18a1d-2a37-4f1e-a2bf-613493bf8504,2024-07-12T18:30:33.397557+00:00,medium,193.149.253.97,US,2024-07-12T18:30:33.397557+00:00
15,be6991b5-67d7-4ea1-a755-152e9233761c,2024-09-20T10:29:01.812994+00:00,high,143.253.103.147,CA,2024-09-20T10:29:01.812994+00:00
16,6abf8a33-9036-428d-8b10-818e319c8616,2024-02-28T12:51:45.335032+00:00,low,179.207.68.224,CA,2024-02-28T12:51:45.335032+00:00
17,bbc4f8e7-8c4a-4c04-b374-c6ca6a0e509b,2023-11-24T22:35:13.052526+00:00,medium,68.59.238.159,US,2023-11-24T22:35:13.052526+00:00
18,10248758-5c8c-4ae3-b936-6fe6585acc2a,2024-07-30T00:15:56.197800+00:00,low,151.76.211.50,CA,2024-07-30T00:15:56.197800+00:00
19,f56b0262-4b9a-4762-bb21-5c0a9002d3a6,2025-03-02T03:29:44.470658+00:00,high,88.235.109.40,DE,2025-03-02T03:29:44.470658+00:00
20,55af6904-99a9-4212-af34-fe10d22e13d4,2023-12-13T03:54:22.753674+00:00,low,218.196.133.29,DE,2023-12-13T03:54:22.753674+00:00
21,7cf5ef9b-990f-41bb-9c07-5cc5f940998a,2025-03-02T23:50:18.474184+00:00,high,111.191.215.115,DE,2025-03-02T23:50:18.474184+00:00
22,da3d8342-b1c8-4123-b5e8-4cf5648e2992,2025-08-08T06:28:04.402945+00:00,high,159.127.122.63,DE,2025-08-08T06:28:04.402945+00:00
23,706fb7e5-497f-40b3-9d07-2ffecd4dbe20,2025-03-03T12:29:38.723483+00:00,medium,148.214.189.97,US,2025-03-03T12:29:38.723483+00:00
24,fd465173-e2d5-4933-bd01-53b5874cb6f5,2025-07-15T19:31:52.700607+00:00,high,88.106.99.30,CA,2025-07-15T19:31:52.700607+00:00
25,908e424f-0fff-4601-ad8d-5ac34e4bd160,2024-08-04T03:31:35.148313+00:00,high,56.16.53.154,DE,2024-08-04T03:31:35.148313+00:00
26,6085b8d6-722f-4965-9b07-069a4179c31f,2025-08-12T03:32:41.033978+00:00,low,194.251.251.144,US,2025-08-12T03:32:41.033978+00:00
27,e3744afb-c966-403f-a703-bd880fe1ddf0,2025-03-26T13:17:34.772463+00:00,medium,220.112.162.253,GB,2025-03-26T13:17:34.772463+00:00
28,7db96ce0-2f28-458d-b34f-74c46c995f32,2024-09-17T16:04:42.658449+00:00,high,185.138.14.193,GB,2024-09-17T16:04:42.658449+00:00
29,60cce80b-711e-4775-bc1e-64f483422441,2024-05-14T17:01:58.170318+00:00,high,61.18.109.162,CA,2024-05-14T17:01:58.170318+00:00
30,4b437184-866d-47b6-b496-673ca0359bc4,2025-04-21T21:49:16.660835+00:00,high,83.29.26.203,GB,2025-04-21T21:49:16.660835+00:00
31,6b506415-4f2c-4372-8704-8311af1a88eb,2025-04-30T16:53:01.886451+00:00,medium,165.23.26.64,IN,2025-04-30T16:53:01.886451+00:00
32,a6bf1012-6c1a-49c4-9637-4b607ec94c63,2025-08-26T17:58:53.922729+00:00,high,220.4.103.95,DE,2025-08-26T17:58:53.922729+00:00
33,8c807633-2748-4953-b87d-ab7718d84cac,2025-10-07T07:16:25.110516+00:00,low,46.99.246.5,IN,2025-10-07T07:16:25.110516+00:00
34,11588484-3194-4064-97fd-60a598655e21,2025-02-17T06:21:12.618843+00:00,medium,72.104.120.165,US,2025-02-17T06:21:12.618843+00:00
35,8162d234-704e-400e-bdb0-a3059b41ef36,2024-07-13T09:03:34.368312+00:00,medium,170.188.4.149,US,2024-07-13T09:03:34.368312+00:00
36,3437da6d-f4c4-45cc-9a52-4537e545f521,2025-07-15T19:32:44.739880+00:00,low,192.44.28.201,US,2025-07-15T19:32:44.739880+00:00
37,7166c325-2fa7-4386-8538-50d655aa2ff8,2024-03-09T07:30:16.032242+00:00,medium,40.31.179.151,DE,2024-03-09T07:30:16.032242+00:00
38,71d527de-117f-48ed-b59d-97b65de8fab2,2025-07-06T07:08:23.740242+00:00,high,181.5.64.135,DE,2025-07-06T07:08:23.740242+00:00
39,76c26f6d-d00a-4b98-9da0-503a568ea6d0,2023-11-20T18:51:49.343149+00:00,low,191.104.245.133,DE,2023-11-20T18:51:49.343149+00:00
40,322ddc8f-03d0-45f5-a504-b98900b2a59f,2024-08-27T05:44:52.154846+00:00,low,80.124.246.135,IN,2024-08-27T05:44:52.154846+00:00
41,b9f70198-9973-4c2c-8e59-e4c7129f74f8,2024-09-18T00:28:18.550890+00:00,medium,116.72.29.196,IN,2024-09-18T00:28:18.550890+00:00
42,152d075b-d80f-4e71-8dbc-17bbefe2037f,2025-01-09T10:16:39.045495+00:00,medium,189.91.195.81,IN,2025-01-09T10:16:39.045495+00:00
43,aa0271c6-5843-44aa-b503-6a24ff1d5ae3,2024-10-23T14:04:50.257199+00:00,high,212.8.172.55,IN,2024-10-23T14:04:50.257199+00:00
44,974406c7-f65d-4b5b-97c2-f1b2db0bb57e,2025-04-09T16:31:41.529279+00:00,medium,44.97.229.8,GB,2025-04-09T16:31:41.529279+00:00
45,645cc2cf-72e3-488b-bdf1-80473665dbf8,2025-06-22T00:41:43.051619+00:00,high,65.156.181.70,DE,2025-06-22T00:41:43.051619+00:00
46,f8daefa8-ba07-4f55-a1a5-68c6bbf09aa8,2024-12-15T14:58:58.218418+00:00,low,184.173.5.172,DE,2024-12-15T14:58:58.218418+00:00
47,e6d63c06-08df-4243-801a-4fc0850b29a5,2023-11-25T06:53:46.389648+00:00,low,167.28.205.217,DE,2023-11-25T06:53:46.389648+00:00
48,492f53b6-8956-477a-801f-99681c8250bf,2024-03-17T09:46:27.445941+00:00,low,150.54.112.222,IN,2024-03-17T09:46:27.445941+00:00
49,948ee80b-ec26-4751-b936-85d30e95fc4c,2024-03-26T16:23:40.440870+00:00,high,153.28.189.22,GB,2024-03-26T16:23:40.440870+00:00
50,3653c60b-fb5c-4aea-9696-f443137b68f8,2025-07-24T12:03:04.153065+00:00,high,175.84.77.55,CA,2025-07-24T12:03:04.153065+00:00
51,752bf8f9-b3b6-4276-b541-6a03357b29e7,2024-03-19T06:50:20.324851+00:00,high,17.136.177.197,US,2024-03-19T06:50:20.324851+00:00
52,0fceb720-a37e-4473-a741-98d37ad8bf86,2024-09-03T18:10:50.565645+00:00,low,221.34.175.239,US,2024-09-03T18:10:50.565645+00:00
53,4cf730fe-62ee-4942-af24-64f4b3683b2c,2025-10-10T13:36:46.015655+00:00,medium,63.90.244.166,CA,2025-10-10T13:36:46.015655+00:00
54,93d32e32-62d2-4d7d-b474-2ae38ff5ba6c,2025-04-07T06:46:08.262413+00:00,high,203.140.122.195,CA,2025-04-07T06:46:08.262413+00:00
55,b3fc25f8-535c-4daa-a157-fe1dfa640ae7,2025-07-26T08:21:52.237068+00:00,medium,32.109.209.112,GB,2025-07-26T08:21:52.237068+00:00
56,01a12964-c064-4192-9d9a-74e84bdd228d,2025-10-05T17:46:23.367870+00:00,low,64.181.9.171,DE,2025-10-05T17:46:23.367870+00:00
57,61550f25-380c-4dbf-8519-ff7a0cce8cb3,2025-07-01T08:42:18.519542+00:00,high,204.65.97.30,CA,2025-07-01T08:42:18.519542+00:00
58,48be5e7c-a55d-4f56-baa8-e21ebb627f4d,2023-10-24T16:49:07.593069+00:00,low,46.68.190.4,US,2023-10-24T16:49:07.593069+00:00
59,43344dc6-d04e-4aa8-b1ad-350bbceee1a3,2023-12-12T12:51:29.127767+00:00,low,199.173.36.180,GB,2023-12-12T12:51:29.127767+00:00
60,16a02965-a270-4ef9-8cbb-f8e1c6251fc3,2024-05-16T08:11:10.083747+00:00,high,215.252.153.116,DE,2024-05-16T08:11:10.083747+00:00
