login_id,customer_id,device_id,login_ts,ip,country,success,mfa_passed,created_at
1,1,1,2025-08-29T22:31:45.889948+00:00,111.96.81.131,IN,False,True,2025-08-29T22:31:45.889948+00:00
2,1,1,2025-09-29T19:18:07.706464+00:00,142.174.255.32,IN,True,False,2025-09-29T19:18:07.706464+00:00
3,1,2,2025-10-04T18:08:50.066536+00:00,212.240.24.184,US,True,True,2025-10-04T18:08:50.066536+00:00
4,2,3,2025-10-16T06:24:08.732728+00:00,156.18.113.149,CA,True,False,2025-10-16T06:24:08.732728+00:00
5,2,3,2025-10-18T20:49:44.970755+00:00,176.92.204.245,US,True,True,2025-10-18T20:49:44.970755+00:00
6,2,3,2025-09-04T09:06:11.291067+00:00,91.111.78.206,IN,True,True,2025-09-04T09:06:11.291067+00:00
7,3,4,2025-09-05T19:18:28.700280+00:00,143.121.241.247,GB,True,False,2025-09-05T19:18:28.700280+00:00
8,3,4,2025-08-29T11:57:16.884991+00:00,218.105.10.165,CA,True,True,2025-08-29T11:57:16.884991+00:00
9,4,7,2025-09-17T02:27:07.743456+00:00,189.24.197.157,CA,True,False,2025-09-17T02:27:07.743456+00:00
10,5,8,2025-10-14T17:54:29.244572+00:00,83.76.249.208,US,True,False,2025-10-14T17:54:29.244572+00:00
11,6,9,2025-09-23T08:18:49.371461+00:00,111.3.170.180,US,True,True,2025-09-23T08:18:49.371461+00:00
12,7,10,2025-10-10T18:52:01.352279+00:00,198.136.103.146,GB,False,False,2025-10-10T18:52:01.352279+00:00
13,7,10,2025-10-13T02:37:28.395224+00:00,82.59.226.14,CA,True,True,2025-10-13T02:37:28.395224+00:00
14,8,12,2025-09-24T16:05:18.913614+00:00,204.54.63.17,IN,False,True,2025-09-24T16:05:18.913614+00:00
15,8,12,2025-10-02T09:26:06.179518+00:00,118.36.115.90,US,True,True,2025-10-02T09:26:06.179518+00:00
16,8,11,2025-08-09T15:40:22.730754+00:00,221.190.179.74,US,True,False,2025-08-09T15:40:22.730754+00:00
17,9,13,2025-09-28T11:27:25.692500+00:00,222.54.83.226,GB,False,True,2025-09-28T11:27:25.692500+00:00
18,10,15,2025-10-17T23:18:45.796880+00:00,50.253.236.219,GB,True,False,2025-10-17T23:18:45.796880+00:00
19,11,16,2025-09-06T08:45:54.248433+00:00,169.48.172.217,DE,True,False,2025-09-06T08:45:54.248433+00:00
20,11,17,2025-10-03T03:06:48.923955+00:00,216.245.225.12,GB,False,True,2025-10-03T03:06:48.923955+00:00
21,11,17,2025-09-19T17:51:06.719366+00:00,217.95.164.110,IN,True,False,2025-09-19T17:51:06.719366+00:00
22,12,19,2025-08-12T18:21:08.592412+00:00,200.118.191.117,CA,True,False,2025-08-12T18:21:08.592412+00:00
