merchant_id,mcc,name,country,risk_tag,created_at
1,5999,"Mcgrath, Robinson and Long",DE,low,2021-09-18T22:58:59.343070+00:00
2,5411,"Wilkerson, Marshall and Phillips",US,high,2025-05-26T14:25:51.074755+00:00
3,5311,"Frank, Nelson and Mosley",DE,low,2024-10-29T04:58:43.509545+00:00
4,5812,Park-Patterson,US,high,2022-06-11T12:21:36.342147+00:00
5,6011,Hayes LLC,DE,low,2024-11-26T09:33:35.842218+00:00
6,5311,Martin-Peck,IN,high,2023-12-17T18:15:56.309913+00:00
7,5411,Bolton-Barnes,GB,low,2022-01-08T05:37:41.579141+00:00
8,5311,Rodriguez-Fisher,GB,high,2025-03-12T22:51:54.347784+00:00
9,5812,Meyer LLC,CA,low,2024-06-10T06:09:59.212702+00:00
10,5411,Rios LLC,GB,medium,2021-10-29T11:18:34.240626+00:00
11,5411,Medina-Smith,IN,high,2024-03-24T11:39:30.815614+00:00
12,5812,Kelly Group,CA,low,2021-09-14T20:37:01.047224+00:00
13,5812,Ellison LLC,IN,low,2025-04-24T05:12:08.470486+00:00
14,5411,Evans Group,DE,high,2021-04-30T17:09:55.553515+00:00
15,6011,"Taylor, Trujillo and Hammond",GB,medium,2025-04-18T21:51:44.970274+00:00
16,6011,Perez Group,IN,low,2024-03-16T13:24:25.119214+00:00
17,6011,Cabrera-Neal,CA,high,2024-04-22T00:15:34.181116+00:00
18,5411,"Anderson, Alexander and Cain",CA,medium,2022-08-16T01:48:24.002501+00:00
19,5999,Williams-Cooper,CA,low,2023-06-15T16:27:12.195394+00:00
20,5411,"Osborn, Martin and Thomas",US,medium,2022-03-07T08:45:37.278627+00:00
21,6011,Johnson-Turner,IN,high,2020-10-29T07:15:28.668266+00:00
22,6011,Carter-Watson,IN,medium,2025-07-01T08:57:56.333286+00:00
23,6011,Young Ltd,US,medium,2021-07-05T03:39:28.317159+00:00
24,6011,Scott PLC,IN,low,2021-12-27T04:00:07.471717+00:00
25,5812,West and Sons,CA,high,2020-12-01T14:18:48.131276+00:00
26,5411,Humphrey-Swanson,CA,low,2024-03-25T09:39:37.449644+00:00
27,5999,Crawford-Nelson,CA,high,2025-08-01T16:20:34.926299+00:00
28,5812,Lewis-Mooney,GB,high,2022-02-20T15:20:36.314628+00:00
29,5411,Barber Ltd,US,medium,2023-04-12T07:35:03.612000+00:00
30,6011,Aguilar Inc,US,high,2023-05-24T15:23:54.279049+00:00
31,5411,Mason LLC,CA,low,2023-03-17T07:12:14.648721+00:00
32,5812,"Smith, Newman and Brady",IN,medium,2022-12-05T08:05:10.471216+00:00
33,5411,"Rubio, Ellis and Johns",DE,high,2022-09-26T14:04:06.130481+00:00
34,6011,Freeman LLC,US,low,2024-04-08T07:21:49.332592+00:00
35,5812,"Powell, Travis and Yates",CA,medium,2021-02-26T16:02:24.945750+00:00
36,6011,Reilly Inc,GB,high,2021-11-17T14:14:27.141191+00:00
37,6011,Benton-Knox,IN,high,2025-08-29T12:32:47.478550+00:00
38,5311,Lawson-Buchanan,IN,low,2021-12-13T12:43:39.276449+00:00
39,5311,"Parker, Cervantes and Reynolds",US,high,2021-01-29T20:12:04.753167+00:00
40,5999,"Thompson, Watson and Bentley",DE,low,2022-10-28T10:09:23.136590+00:00
41,5999,Gillespie-Rivera,CA,low,2025-10-05T15:52:38.914774+00:00
42,5812,"Parrish, Cox and Russell",CA,high,2025-10-03T09:39:09.644259+00:00
43,5411,Lopez PLC,US,low,2023-12-06T09:36:42.425170+00:00
44,5812,Clark PLC,CA,high,2021-02-08T12:47:14.721256+00:00
45,5999,Beck-Newton,GB,high,2025-03-14T18:57:44.690509+00:00
46,5311,Patterson PLC,CA,medium,2021-03-21T08:13:47.858788+00:00
47,5411,Grimes PLC,DE,low,2022-02-09T14:58:58.894138+00:00
48,6011,"Clark, Mann and Gonzalez",US,medium,2025-01-12T03:22:33.748138+00:00
49,5411,"Richmond, Wallace and Moses",GB,high,2022-08-19T23:55:51.584412+00:00
50,6011,Johnson-Hoffman,CA,high,2025-10-12T16:11:12.543850+00:00
51,5311,Castro-Berry,US,low,2022-11-14T18:45:37.042582+00:00
52,5999,"Sanchez, Shepherd and Wilson",DE,medium,2023-03-05T21:44:26.886626+00:00
53,5411,Wood-Lara,IN,high,2024-03-27T22:05:05.901281+00:00
54,5999,Ryan-Dawson,CA,low,2023-05-18T11:45:06.107564+00:00
55,5999,"Davis, Shea and Salinas",IN,low,2024-12-27T17:32:40.857661+00:00
56,5999,Wagner LLC,DE,medium,2022-09-12T12:08:04.367528+00:00
57,5999,Hughes-Buchanan,DE,high,2023-06-23T06:45:28.478425+00:00
58,5411,Olson and Sons,DE,low,2022-05-06T14:04:53.536090+00:00
59,5812,"Tran, Reed and Kelley",IN,low,2021-08-17T03:34:17.797597+00:00
60,5999,Ball-Ford,GB,high,2022-06-26T17:10:40.026133+00:00
61,5311,Young-Hernandez,DE,medium,2024-05-02T20:37:17.403716+00:00
62,5411,"Davis, Little and Powers",US,low,2023-04-09T03:32:22.288997+00:00
63,5411,Cunningham-Mccann,IN,low,2023-05-26T08:15:59.607722+00:00
64,5999,Mcknight Group,DE,low,2023-07-25T22:51:26.221000+00:00
