incident_id,site_id,incident_date,incident_type,severity_1to5,property_loss_usd
1,1,2023-03-19,False Alarm,3,0.0
2,1,2023-06-15,Real Event,3,38268.62
3,1,2024-01-03,Real Event,4,20849.74
4,1,2024-01-05,Real Event,5,47078.26
5,1,2024-07-14,Real Event,5,14302.22
6,1,2024-08-05,False Alarm,5,0.0
7,1,2024-08-08,False Alarm,4,0.0
8,1,2024-11-09,Real Event,5,46694.42
9,1,2025-02-01,False Alarm,4,0.0
10,1,2025-02-04,False Alarm,4,0.0
11,1,2025-04-27,False Alarm,4,0.0
12,1,2025-04-25,False Alarm,4,0.0
13,1,2025-08-15,Real Event,3,26500.2
14,2,2023-01-26,False Alarm,2,0.0
15,2,2023-01-07,False Alarm,2,0.0
16,2,2023-02-04,Real Event,3,20297.94
17,2,2023-10-26,False Alarm,4,0.0
18,3,2022-10-05,False Alarm,3,0.0
19,3,2023-02-22,Real Event,5,8647.57
20,3,2024-10-17,False Alarm,5,0.0
21,4,2023-02-11,Real Event,5,52908.73
22,4,2023-02-19,Real Event,3,36326.42
23,4,2023-05-16,False Alarm,4,0.0
24,4,2023-09-18,False Alarm,4,0.0
25,4,2023-09-11,Real Event,4,48826.92
26,4,2025-06-16,Real Event,4,26348.59
27,4,2025-06-03,Real Event,5,34484.59
28,5,2022-10-16,False Alarm,5,0.0
29,5,2022-10-09,Real Event,4,48674.31
30,5,2023-04-09,False Alarm,4,0.0
31,5,2023-06-07,False Alarm,4,0.0
32,5,2025-01-06,False Alarm,3,0.0
33,5,2025-07-23,False Alarm,4,0.0
34,5,2025-08-14,Real Event,3,30471.71
35,6,2023-01-20,False Alarm,4,0.0
36,6,2023-08-17,Real Event,5,21025.55
37,6,2023-08-06,Real Event,4,6490.83
38,6,2024-07-20,False Alarm,2,0.0
39,6,2024-09-20,False Alarm,4,0.0
40,6,2025-02-24,False Alarm,4,0.0
41,6,2025-04-08,False Alarm,3,0.0
42,6,2025-06-02,False Alarm,3,0.0
43,7,2025-02-20,Real Event,4,41416.36
44,8,2022-09-11,Real Event,3,24003.34
45,8,2022-10-03,Real Event,5,31712.51
46,9,2023-02-12,False Alarm,5,0.0
47,9,2023-02-21,False Alarm,3,0.0
48,9,2024-09-20,Real Event,4,41463.7
49,9,2025-02-06,False Alarm,5,0.0
50,9,2025-02-10,Real Event,5,55789.19
51,10,2022-09-11,False Alarm,3,0.0
52,10,2023-08-24,Real Event,3,22021.05
53,10,2024-02-09,Real Event,4,16267.09
54,10,2024-06-19,False Alarm,3,0.0
55,10,2024-07-25,False Alarm,4,0.0
56,10,2024-07-16,False Alarm,5,0.0
57,10,2025-08-01,False Alarm,3,0.0
58,11,2024-06-22,False Alarm,4,0.0
59,11,2025-05-12,False Alarm,5,0.0
60,11,2025-08-27,Real Event,4,24103.01
61,11,2025-09-25,False Alarm,4,0.0
62,12,2024-05-17,False Alarm,4,0.0
63,12,2025-03-06,Real Event,4,24573.83
64,12,2025-03-08,False Alarm,4,0.0
