site_id,site_name,site_type,occupancy_class,has_sprinklers,sq_ft,city,address,ahj_jurisdiction,installed_year,system_age_years,service_level,risk_score
1,Manufacturing #1,Manufacturing,Moderate,True,73216,Cleveland,53392 Kimberly Port,Cleveland Fire Dept,1997,28,Bronze,0.5440786666666666
2,Healthcare #2,Healthcare,Light,True,19408,Cleveland,7552 Jenna Mission,Cleveland Fire Dept,2017,8,Bronze,0.1328893333333333
3,Education #3,Education,Ordinary,True,19221,Akron,353 Christopher Forge,Akron Fire Dept,2018,7,Gold,0.19608241666666668
4,Retail #4,Retail,Moderate,False,24572,Cleveland,228 Anita Road,Cleveland Fire Dept,2020,5,Bronze,0.4392623333333333
5,Warehouse #5,Warehouse,Ordinary,True,55963,Cleveland,2594 Hull Ports,Cleveland Fire Dept,2015,10,Silver,0.25863891666666666
6,Hospitality #6,Hospitality,Ordinary,True,20586,Cleveland,776 Perkins Forks Apt. 748,Cleveland Fire Dept,2022,3,Gold,0.1504395
7,Manufacturing #7,Manufacturing,Light,True,64517,Cincinnati,0511 Nolan Lane,Cincinnati Fire Dept,2008,17,Bronze,0.2717210833333333
8,Warehouse #8,Warehouse,Moderate,True,51964,Cleveland,463 Lowe Pike,Cleveland Fire Dept,2013,12,Gold,0.34147299999999997
9,Office #9,Office,Light,False,47027,Cleveland,65260 Rodriguez Mews Suite 582,Cleveland Fire Dept,2002,23,Silver,0.5286035833333333
10,Healthcare #10,Healthcare,Ordinary,True,25833,Cleveland,53546 Robert Pass,Cleveland Fire Dept,2009,16,Gold,0.3060414166666666
11,Manufacturing #11,Manufacturing,Ordinary,True,34953,Cleveland,47622 Fox Fort Suite 596,Cleveland Fire Dept,2008,17,Silver,0.32454808333333335
12,Warehouse #12,Warehouse,Light,True,31129,Akron,4489 Lisa Trace Apt. 183,Akron Fire Dept,1997,28,Silver,0.37501341666666665
13,Warehouse #13,Warehouse,Light,True,59914,Louisville,2178 Gary Plains,Louisville Fire Dept,2024,1,Silver,0.08160216666666667
14,Healthcare #14,Healthcare,Moderate,False,35719,Akron,37881 Atkins Estates,Akron Fire Dept,1998,27,Gold,0.70428925
15,Office #15,Office,Moderate,True,59609,Cincinnati,4235 Foley Squares,Cincinnati Fire Dept,2005,20,Silver,0.44054008333333333
16,Retail #16,Retail,Ordinary,True,42045,Cincinnati,22475 Johnson Drive,Cincinnati Fire Dept,2023,2,Silver,0.15486708333333332
17,Office #17,Office,Light,False,15082,Columbus,2368 Nicholas Lodge,Columbus Fire Dept,2013,12,Silver,0.37631149999999997
18,Hospitality #18,Hospitality,Moderate,True,67125,Dayton,9768 William Dale Apt. 769,Dayton Fire Dept,2008,17,Gold,0.41117708333333336
19,Hospitality #19,Hospitality,Ordinary,True,2000,Cincinnati,0060 Luna Summit Apt. 256,Cincinnati Fire Dept,1997,28,Silver,0.42816666666666664
20,Education #20,Education,Moderate,True,29115,Dayton,60234 Rebecca Road,Dayton Fire Dept,2011,14,Silver,0.3476695833333333
21,Retail #21,Retail,Light,True,50378,Akron,89821 David Heights,Akron Fire Dept,1999,26,Silver,0.36611683333333334
22,Office #22,Office,Light,True,9337,Dayton,8111 Roberts Coves Suite 057,Dayton Fire Dept,2000,25,Bronze,0.3236694166666667
23,Manufacturing #23,Manufacturing,Ordinary,False,38333,Akron,271 Flores Union Apt. 611,Akron Fire Dept,2024,1,Silver,0.34041641666666667
24,Office #24,Office,Ordinary,False,132415,Cleveland,10186 Dawn Keys,Cleveland Fire Dept,2009,16,Silver,0.5859779166666667
25,Warehouse #25,Warehouse,Ordinary,True,32539,Columbus,60723 Theresa Villages,Columbus Fire Dept,2011,14,Gold,0.2877375833333333
26,Education #26,Education,Light,True,13930,Cleveland,955 Christina Squares,Cleveland Fire Dept,2005,20,Silver,0.2687808333333333
27,Retail #27,Retail,Moderate,True,48908,Dayton,946 Christopher Turnpike Apt. 474,Dayton Fire Dept,1998,27,Bronze,0.514181
28,Office #28,Office,Ordinary,False,108854,Dayton,35552 Perez Expressway,Dayton Fire Dept,2024,1,Bronze,0.39330716666666665
29,Hospitality #29,Hospitality,Light,True,40300,Dayton,31036 Leslie Branch,Dayton Fire Dept,2023,2,Bronze,0.07855833333333334
30,Office #30,Office,Ordinary,False,6661,Cincinnati,36519 Jessica Lodge,Cincinnati Fire Dept,2000,25,Silver,0.5966624166666668
31,Education #31,Education,Ordinary,False,84180,Louisville,59149 Tina Canyon,Louisville Fire Dept,2020,5,Silver,0.42146833333333333
32,Office #32,Office,Moderate,False,50497,Columbus,82402 Soto Shoals Suite 580,Columbus Fire Dept,2007,18,Gold,0.61037275
33,Education #33,Education,Light,True,33504,Cincinnati,6116 David Inlet Suite 477,Cincinnati Fire Dept,1995,30,Bronze,0.400128
